case_id,status,failure_kind,platform,family,dimension,level,dtype,requested_mode,chunk_size,max_vectorized_suffix_ndim_requested,batched_axis_order_strategy_requested,warm_repeats,batch_size,actual_mode,requested_matches_actual,uses_materialized_plan,num_terms,num_evaluation_points,storage_bytes,bytes_per_point,terms_per_point,vectorized_ndim,max_vectorized_points,max_vectorized_suffix_ndim,batched_axis_order_strategy,value,analytic_value,absolute_error,relative_error,init_ms,maxrss_mb,single_first_call_ms,single_warm_runtime_ms,single_compile_ms,single_compile_share,single_throughput_integrals_per_second,batch_first_call_ms,batch_warm_runtime_ms,batch_compile_ms,batch_compile_share,batch_throughput_integrals_per_second,batch_throughput_speedup_vs_single,batch_runtime_ms_per_integral,batch_avg_gpu_util,batch_peak_gpu_util,batch_peak_mem_used_mb,batch_dominant_pstate,probe_strategy,probe_width,probe_report_dir
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,1,original,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,1,1,1,original,0.23725254086650935,0.03894539771689433,0.198307143149615,5.091927538939737,83.06121500208974,803.390625,2337.9565450013615,2736.7425630024322,0.0,0.0,0.3653979053488018,2488.331920001656,2160.646182669249,327.6857373324069,0.1316889176634397,462.82450501201737,1266.6315220669205,,39.01754385964912,40,270,P5,original,1,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w1/report_20260401T120049Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,1,original,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,1,1,1,original,0.23725254086650935,0.001516744003327078,0.23573579686318227,155.42227056515816,85.60757001396269,807.94140625,2629.098111006897,2337.416446661033,291.68166434586374,0.1109436209796503,0.42782277904670607,2540.5881670012604,2142.1837663219776,398.40440067928284,0.15681581369779135,466.81335920911675,1091.137223336474,,39.375,40,274,P5,original,1,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w1/report_20260401T120049Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,2,original,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,2,1,2,original,0.23725254086650935,0.03894539771689433,0.198307143149615,5.091927538939737,77.11870400817133,801.78125,2144.274977996247,2030.0979113186866,114.17706667756033,0.053247399633537196,0.4925870788913979,2500.3187120018993,2086.1560983369905,414.1626136649088,0.1656439283827566,479.3505149481213,973.128479185718,,38.9811320754717,40,270,P5,original,2,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w2/report_20260401T120214Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,2,original,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,2,1,2,original,0.23725254086650935,0.001516744003327078,0.23573579686318227,155.42227056515816,87.94134500203654,814.2109375,2305.1104149781168,2043.5685073413576,261.5419076367591,0.11346176996004854,0.48934009131946365,2571.9967750192154,2132.3288416703385,439.6679333488769,0.17094420087116638,468.9708174732843,958.3739934505359,,38.98245614035088,40,274,P5,original,2,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w2/report_20260401T120214Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,3,original,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,3,1,3,original,0.23725254086650935,0.03894539771689433,0.198307143149615,5.091927538939737,79.96749100857414,801.4140625,3213.3236860099714,2433.9871696623354,779.336516347636,0.24253283904782993,0.4108485091721864,2806.1814389948267,2307.79106200013,498.3903769946969,0.17760447349164285,433.31479026238804,1054.6826399235783,,33.15277777777778,46,270,P5,original,3,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w3/report_20260401T120330Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,3,original,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,3,1,3,original,0.23725254086650935,0.001516744003327078,0.23573579686318227,155.42227056515816,90.41226099361666,814.0390625,2694.0123540116474,2338.0087500069444,356.003604004703,0.13214624033723485,0.42771439584947224,2564.405868994072,2186.123192999124,378.282675994948,0.14751279451069704,457.43076291510744,1069.4771262178733,,38.75,40,274,P5,original,3,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w3/report_20260401T120330Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,4,original,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,4,1,4,original,0.23725254086650935,0.03894539771689433,0.198307143149615,5.091927538939737,79.5441250083968,804.83203125,2158.771797985537,2057.6360473254076,101.13575066012936,0.046848745548049325,0.4859945962260126,2483.459549024701,2098.3175593234287,385.14198970127245,0.15508285200478686,476.5722879059522,980.6123187516296,,38.49152542372882,40,270,P5,original,4,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w4/report_20260401T120459Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,4,original,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,4,1,4,original,0.23725254086650935,0.001516744003327078,0.23573579686318227,155.42227056515816,140.04327199654654,811.109375,2212.037002987927,2039.4961720060867,172.54083098184014,0.07800087916647833,0.49031717427367427,2565.677175996825,2154.1726119952123,411.50456400161283,0.16038828573268724,464.21535323197327,946.7654359030629,,39.421052631578945,40,274,P5,original,4,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w4/report_20260401T120459Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,5,original,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,5,1,5,original,0.23725254086650935,0.03894539771689433,0.198307143149615,5.091927538939737,84.32377700228244,801.40234375,3373.511372017674,2664.4751526667583,709.0362193509159,0.21017750976984143,0.3753084351337047,3437.477444007527,2772.0147519915677,665.4626920159594,0.19359041705889438,360.74844092425735,961.2052572059556,,37.359375,42,270,P5,original,5,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w5/report_20260401T120616Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,5,original,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,5,1,5,original,0.23725254086650935,0.001516744003327078,0.23573579686318227,155.42227056515816,99.62973499204963,811.42578125,2594.334946013987,2336.0711756589203,258.26377035506675,0.09954912365956094,0.42806914892819414,2796.018852997804,2382.3618076664084,413.6570453313957,0.14794501292002574,419.7515242151773,980.569436657973,,38.1,41,274,P5,original,5,/tmp/smolyak_batched_suffix_width_probe_20260401/original_w5/report_20260401T120616Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,1,length,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,1,513,1,length,0.2372525408665066,0.03894539771689433,0.19830714314961229,5.091927538939667,85.64282400766388,794.18359375,612.4465850007255,205.7167726646488,406.72981233607663,0.6641065887167855,4.861052344186635,752.5193470064551,368.33063700275187,384.1887100037032,0.5105366546813948,2714.952001107985,558.5111636073647,,55.0,58,270,P2,length,1,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w1/report_20260401T120748Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,1,length,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,1,513,1,length,0.2372525408665066,0.001516744003327078,0.23573579686317953,155.42227056515637,95.38396901916713,802.37890625,716.3710690219887,271.47128000312176,444.8997890188669,0.6210465612831874,3.6836309166424552,939.1434209828731,469.0508703254939,470.09255065737915,0.500554590656023,2131.9649173789153,578.7672450426038,,50.72727272727273,57,274,P2,length,1,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w1/report_20260401T120748Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,2,length,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,2,771,2,length,0.23725254086651207,0.03894539771689433,0.19830714314961773,5.0919275389398075,84.13956500589848,793.83984375,516.1108729953412,117.6812893342382,398.429583661103,0.7719844795145393,8.497527564979354,625.8546049939469,184.3708053250642,441.4837996688826,0.7054095250655743,5423.852210423986,638.2859212810527,,51.166666666666664,56,270,P2,length,2,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w2/report_20260401T120806Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,2,length,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,2,771,2,length,0.23725254086651207,0.001516744003327078,0.235735796863185,155.42227056515995,102.95031499117613,801.31640625,603.0735110107344,79.05627566894206,524.0172353417923,0.8689110461236377,12.649217175213563,698.6236209922936,150.36574533830085,548.2578756539928,0.7847685923863724,6650.450857342188,525.7598763007961,,62.0,63,274,P2,length,2,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w2/report_20260401T120806Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,3,length,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,3,771,3,length,0.23725254086651135,0.03894539771689433,0.198307143149617,5.091927538939789,83.51307202246971,790.08203125,465.8725869958289,49.09481432211275,416.77777267371613,0.8946175076780117,20.368750015815642,538.5842660034541,88.83189533177453,449.75237067167956,0.8350640727198576,11257.217875011467,552.6710213572566,,56.0,56,270,P2,length,3,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w3/report_20260401T120818Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,3,length,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,3,771,3,length,0.23725254086651135,0.001516744003327078,0.23573579686318427,155.4222705651595,92.14928900473751,801.80859375,530.9576290019322,52.656640677014366,478.30098832491785,0.9008270381649931,18.990957021618723,640.8960580010898,89.98145133955404,550.9146066615358,0.8596005542299637,11113.401541239868,585.1943916564453,,56.6,57,274,P2,length,3,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w3/report_20260401T120818Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,4,length,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,4,771,4,length,0.2372525408665108,0.03894539771689433,0.19830714314961645,5.091927538939775,90.96972900442779,791.2265625,492.4483020149637,55.01257299329154,437.43572902167216,0.8882876176683011,18.17766277032605,553.1021489878185,82.63041733880527,470.47173164901324,0.8506055029979189,12102.080955246192,665.7666119212046,,53.8,55,270,P2,length,4,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w4/report_20260401T120829Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,4,length,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,4,771,4,length,0.2372525408665108,0.001516744003327078,0.23573579686318372,155.42227056515912,129.17582399677485,799.5390625,543.0322689935565,48.55264567110377,494.4796233224527,0.9105897596820717,20.59619998411647,660.4653170215897,82.58523000404239,577.8800870175473,0.8749590207454561,12108.70272990766,587.9095531819335,,55.333333333333336,58,274,P2,length,4,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w4/report_20260401T120829Z
gaussian_d50_l20_float64_mbatched_c16384,success,,gpu,gaussian,50,20,float64,batched,16384,5,length,,,batched,True,False,366,22706,1120536,49.34977538976482,0.016119087465868053,5,771,5,length,0.2372525408665108,0.03894539771689433,0.19830714314961645,5.091927538939775,87.63831801479682,791.92578125,494.36641301144846,51.27193998972265,443.09447302172583,0.8962875740740598,19.503845577141178,573.2812529895455,86.07285667676479,487.2083963127807,0.8498592859474956,11618.06449337876,595.6807055012433,,52.4,56,270,P2,length,5,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w5/report_20260401T120839Z
gaussian_d100_l20_float64_mbatched_c16384,success,,gpu,gaussian,100,20,float64,batched,16384,5,length,,,batched,True,False,366,22706,2218536,97.70703778736898,0.016119087465868053,5,771,5,length,0.2372525408665108,0.001516744003327078,0.23573579686318372,155.42227056515912,95.07691700127907,805.76953125,582.5455150043126,75.4169733360565,507.1285416682561,0.8705389168853215,13.25961459025968,601.3225300121121,86.19705667175974,515.1254733403524,0.856654204075767,11601.324205396266,874.936758261317,,53.0,56,274,P2,length,5,/tmp/smolyak_batched_suffix_width_probe_20260401/length_w5/report_20260401T120839Z
